/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:343: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:363: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
339 841.2365061662223 0.212 -4.482 0.0
340 145.12197744657885 0.296 -1.392 0.0
341 115.21487582563165 0.307 -1.185 0.0
342 115.096464503314 0.156 -7.611 0.0
343 866.7091960165889 0.259 -3.626 0.0
344 74.84488328783422 0.591 0.906 0.0
345 847.0808981662126 0.195 -25.513 0.0
346 217.3661377981386 0.147 -2.059 0.0
347 1.8348237886241912 0.128 -3.985 0.0
348 858.2209808500199 0.187 -5.81 0.0
349 880.1588423152232 0.069 -1.956 0.0
350 883.1657772767925 0.117 -0.296 0.0
351 874.6615672133396 0.329 -27.304 0.0
352 865.9405422647684 0.232 -1.096 0.0
353 852.5233815520744 0.022 -15.024 0.0
354 878.5126814805776 0.183 -1.959 0.0
355 863.9219658999226 0.136 -5.9 0.0
356 872.6653607222972 0.002 3.988 0.0
357 882.0352421530987 0.073 -19.804 0.0
358 874.720703485692 0.11 -0.564 0.0
359 174.80218913712667 0.101 -16.659 0.0
360 873.610341942872 0.26 -0.862 0.0
361 92.53559476812484 0.6 -20.604 0.0
362 867.9879536518239 0.206 -0.644 0.0
363 311.8285323574034 0.04 -3.032 0.0
364 842.7981628294559 0.296 0.971 0.0
365 843.6045596414464 0.247 -25.298 0.0
366 868.9224981253346 0.087 1.709 0.0
367 53.22073407652782 0.163 -14.969 0.0
368 858.32680409276 0.444 0.008 0.0
369 860.8285673385386 0.128 -3.617 0.0
370 858.248184613162 0.23 0.197 0.0
371 188.36363645423273 0.086 -21.94 0.0
372 145.4665390892727 0.067 -2.492 0.0
373 872.9697100816086 0.129 -14.608 0.0
374 872.6913510357933 0.006 -0.443 0.0
375 166.61760267966034 0.164 -28.286 0.0
376 850.9532645039733 0.051 -0.978 0.0
377 867.2616804984455 0.254 -46.605 0.0
378 869.2395681226799 0.337 3.69 0.0
379 849.3361373280366 0.143 -2.797 0.0
380 873.2969623991991 0.012 -8.7 0.0
381 861.9944264533422 0.221 -2.468 0.0
382 882.4852575637499 0.007 -9.246 0.0
383 857.8656114158758 0.347 -0.203 0.0
384 865.5784747411511 0.053 -4.826 0.0
385 899.7450913595557 0.265 -24.386 0.0
386 872.121434315488 0.104 0.568 0.0
387 204.14487924846486 0.277 -0.224 0.0
388 113.51079742938752 0.01 -15.709 0.0
389 871.6141603389968 0.047 0.01 0.0
390 848.4505596664793 0.007 -42.666 0.0
391 213.36462723482612 0.129 0.521 0.0
392 19.01210223255812 0.067 1.496 0.0
393 889.0114674976732 0.065 -1.641 0.0
394 869.5490646778607 0.076 -6.883 0.0
395 154.12281425491062 0.448 0.629 0.0
396 268.65215119388927 0.195 -41.802 0.0
397 855.0207052657636 0.244 -0.482 0.0
398 205.44419212118146 0.04 -23.13 0.0
399 902.6336459837471 0.039 2.439 0.0
400 423.4689066666632 0.434 -12.209 0.0
401 852.8130923453684 0.257 -5.128 0.0
